Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
210,Angus Collard,South West,8.2,8.6,8.1,9.4,7.5,9.3,9.1,60.2,23
211,Oliver Glanville,South West,9.1,8.85,7.45,8.85,7.1,8.7,8.85,58.9,30
212,Felix Mepsted,South West,9.1,8.65,8.35,9.2,7.8,8.5,8.85,60.45,20
213,Jake Stanley,South West,7.9,9.3,8.45,8.8,6.05,8.25,7.7,56.45,38
214,James Dow,South West,8.1,7.8,6.7,9.25,6.7,8.65,7.75,54.95,43
215,Jack Medcalf,Yorkshire,8.6,8.2,8.15,8.8,7.35,7.95,8.3,57.35,34
216,Rhys Watkinson,Yorkshire,8.6,9.4,6.9,9.5,6.55,8.45,7.8,57.2,37
217,Ethan Wilkinson,Yorkshire,8.7,8.9,8.7,9.1,8.65,9.6,9.35,63,7
218,Jack Knowles,North West,9.6,9.5,9.1,9.8,8.95,8.95,9.35,65.25,2
219,James Gilluley,North West,9.3,9.1,7.75,9.25,9.05,9,9.2,62.65,10
220,Oscar Jellyman,North West,8.2,8.6,8.25,9,9.05,8.55,8.65,60.3,21
221,Xandon Williams,North West,9.6,9.7,9.55,9.2,8.8,9.2,8.85,64.9,3
222,Kallan Lister-Short,North West,9.1,8.2,8.25,9.6,8.7,8.4,9.1,61.35,17
223,Kai Napier-Mackman,London,9,9.2,7.95,9.1,8.4,8.95,9.45,62.05,14
224,Kinte Hayles-Richards,London,7.7,9.2,8.5,9,7.5,8.45,8.1,58.45,33
225,Lewis Durkin,London,8.5,8.5,7.9,9.45,7.85,9.05,8.95,60.2,22
226,Noah Rawlings,London,8.9,9.4,9.2,9.1,9.3,9.15,9.1,64.15,5
227,Joseph Peverley,East Midlands,8.4,7.7,6.25,9.65,7.9,8.95,6.7,55.55,41
 228 , Kwadwo Afirifah-Mensah , East Midlands ,,,,,,,, 0.000 ,
 229 , Theo Bower , East Midlands ,,,,,,,, 0.000 ,
230,Jonathan Higgs,East Midlands,8.3,7.7,5.6,9.1,0,7.8,7.95,46.45,46
231,Jamaal Kashim,South East,9.3,9.4,9.2,9.45,7.7,9.5,8.8,63.35,6
232,Alfie Turner,South East,9.4,8.4,8.2,8.9,7.3,7.85,9,59.05,29
233,Alfie Byers,South East,8.6,8.6,7.4,9.2,8.2,8.85,7.8,58.65,31
234,Jasper Carminger,South East,9.6,9.8,9.05,9.35,9.45,9.35,8.95,65.55,1
235,Dafydd Armstrong,Wales,6.8,7.5,7.4,9,5.95,7.5,6.7,50.85,45
236,Samuel Ellis,Wales,8.4,8.9,6.7,9.15,4.8,9.05,6.95,53.95,44
237,Clint Alleyne,Wales,9.3,7.7,9.1,9.85,7.85,8.15,9.8,61.75,16
238,Morgan Lucas,Wales,8.4,9.9,6.9,9.3,8.75,9.5,8.55,61.3,18
239,Conrad Shepherd-Marshall,West Midlands,9.3,9.1,7.7,9,8.85,9.05,9.05,62.05,14
240,George Brown,West Midlands,8.1,9.1,8.1,9.6,9.5,9.4,8.55,62.35,11
241,Hayden Taylor-Walton,West Midlands,9,9.3,8.5,9.4,9,9.05,8.65,62.9,8
242,Kyle Gascoigne-Jones,West Midlands,8.8,8.6,8.15,9.25,7.75,8.55,8.25,59.35,27
243,Jack Dexter Males,West Midlands,8.7,9,8.2,9,7.7,8.8,7.7,59.1,28
244,Harrison Goodchild,East,8.7,9.3,7.55,8.9,7.55,9.05,6.2,57.25,36
245,Dylan Yang,East,8.8,8.4,8.85,8.8,8.95,8.75,9.55,62.1,12
246,Oliver Willey,East,8.5,9.35,9.05,9.3,7.15,9.1,8.6,61.05,19
247,Jeddy White,East,7.3,9.2,7.9,8.65,6.85,8.2,8.15,56.25,40
248,William Bernasconi,East,8,8.75,7.05,8.8,6.15,9.15,7.25,55.15,42
249,Calvin Graves,Scotland,8.4,8.1,7.45,9,7.55,8.6,8.2,57.3,35
250,Andreas Calin,Scotland,8.3,9.3,7.7,9.15,7.9,9.2,8.4,59.95,24
251,Ethan Singh Patter,Scotland,8.8,8.6,7.75,9.3,9.2,9.35,9.1,62.1,12
252,Kyle Millar,Scotland,9.6,9.3,8.05,9.65,8.95,9.45,9.45,64.45,4
253,Aaron Convery,Scotland,0,8.5,0,0,8.65,8.8,5.9,31.85,47
254,Eric Breslin,South,9.1,9.3,9.1,9.65,8.7,8.15,8.8,62.8,9
255,Faris Akhtar,South,8.3,8.4,7.95,8.95,8.5,9.15,7.2,58.45,32
256,Luke Everett,South,8.4,8.8,8.5,9,6.55,9.2,8.95,59.4,26
257,Benjamin Neville,South,8.2,9,8.1,9.1,8.1,9,8,59.5,25
258,Artem Nugmanov,South,8.1,8.1,7.4,8.35,6.5,9,9,56.45,38
