Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
507,Oscar Harper,Wales,9.900,8.775,9.000,9.300,9.800,8.400,9.100,9.250,73.525,1
515,Jamie Brennan,London,9.100,9.250,8.500,9.700,9.350,9.000,9.100,9.000,73.000,2
519,Lazarus Benjamin,North West,9.750,9.325,8.250,9.750,9.850,7.800,9.500,8.650,72.875,3
517,Nimeire Mavounda,London,9.750,9.525,8.600,9.550,9.100,8.050,9.200,8.650,72.425,4
518,Finlay Dunne,North West,9.050,9.075,8.450,9.400,9.400,8.900,9.300,8.500,72.075,5
524,Simon Toussaint,Yorkshire,8.300,9.225,8.950,9.550,9.150,8.150,9.100,9.000,71.425,6
511,Michael Ridgway,East,8.600,9.000,8.950,9.550,9.350,8.000,8.500,8.900,70.850,7
506,Liam Beard,Wales,8.700,9.500,8.200,9.150,9.700,7.250,8.900,9.050,70.450,8
508,Rhys Griffiths,Wales,9.400,9.450,8.050,9.350,9.450,6.450,9.400,8.650,70.200,9
523,Jack Stanley,Yorkshire,9.300,9.050,8.500,9.650,8.550,8.150,8.900,7.750,69.850,10
516,Myron Francis,London,8.700,8.900,8.000,9.500,9.450,7.800,8.700,8.450,69.500,11
501,Anton Adewale,South East,8.900,8.425,8.450,9.550,9.600,6.000,8.700,9.200,68.825,12
505,Liam Jury,East Midlands,8.450,7.900,8.400,9.650,9.800,8.850,6.900,8.500,68.450,13
510,Kieran Burch,East,8.800,8.475,8.150,9.650,9.850,7.400,8.400,7.500,68.225,14
513,Ryan Cirino,East,8.300,8.250,7.800,9.400,9.600,8.600,8.100,8.050,68.100,15
509,Sammy Morgan,Wales,8.300,9.175,7.900,9.200,9.000,7.750,7.400,9.150,67.875,16
520,Nathan Todosijczuk,North West,7.700,8.875,8.500,8.800,9.200,7.650,8.400,8.350,67.475,17
521,Nathaniel Pye,North West,8.200,8.900,7.350,9.550,7.650,8.900,8.900,7.500,66.950,18
512,Niall Hooton,East,8.550,8.300,8.350,9.050,8.750,7.550,6.600,8.950,66.100,19
525,Frederick Nelson,North,8.900,7.475,8.350,9.450,9.100,5.950,8.200,8.600,66.025,20
503,Laurence Butler,South East,7.200,9.300,7.850,9.200,9.300,7.950,7.000,7.300,65.100,21
502,Cody Trueman,South East,7.400,6.625,7.600,9.450,9.150,7.200,7.700,8.050,63.175,22
514,Daniel Kekeh,London,7.150,7.650,8.300,9.400,9.100,7.400,6.400,6.700,62.100,23
522,Tremare Brown,North West,6.900,8.475,6.200,9.350,8.600,7.600,8.100,4.200,59.425,24
526,Felix Coomber,South,7.800,8.625,7.950,9.250,8.900,1.000,5.700,5.950,55.175,25
