Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
1,Ira Wilsher,Wales,8.7,9.05,7.5,9.5,8.35,8.4,8.4,59.9,34
2,Ruben Wilsher,Wales,8,9.5,6.4,9.15,8.55,7.47,7.45,56.52,48
3,Cobie Jay Phillips,Wales,9.3,9.6,8.15,9.75,9,8.44,8.1,62.34,22
4,Charlie Silvester,Wales,8.75,8.85,8,9.7,8.55,7.64,6,57.49,41
5,Jack Prosser,Wales,9.1,9.55,8.7,9.05,8.75,8.94,8.3,62.39,21
6,Aled Llyr Eva,Wales,8.4,9,8,9.6,7.6,7.7,6.95,57.25,43
7,Markus Reh,East Midlands,8.4,9.7,8.5,9.85,9.7,9.34,7.95,63.44,15
8,Harrison Coleman,East Midlands,8.75,8.7,7.9,9.1,7.2,8.9,5.65,56.2,52
9,Isaac Crow,East Midlands,9.2,9.4,7.7,9.3,8.7,8.54,7.65,60.49,30
10,Kaiden  Goodwin-Cotterill,East Midlands,8.3,8.8,7.1,8.4,8.5,8.04,5.3,54.44,56
11,Ollie Wallis,East Midlands,8.9,8.75,7,9.6,8.05,8.1,6.8,57.2,44
12,Callum Sellers,East Midlands,9.2,9.65,5.9,9.45,9.25,8.4,8.3,60.15,31
13,Alex Fraser,South,9.25,9.8,9,9.3,9.45,8.34,9.1,64.24,8
14,William Harley,South,7.5,9.3,7.5,9.25,8.85,8.44,5.5,56.34,50
15,Duro Houghton Osondu-Tugbobo,South,9.4,9.15,9,8.95,9.3,8.37,8.75,62.92,18
16,Elijah Robinson,South,9.3,9.6,8.9,9.6,9.55,9.47,8.5,64.92,5
17,Jack Sheen,South,9.55,9.8,8.9,9.35,9.4,9.54,8.1,64.64,6
18,Oliver Hardy,South West,8.7,9.7,9.2,9.7,9.05,9.54,5.9,61.79,27
19,Nathaniel Bassiouni,South West,8.7,9.2,6.5,9.6,7,7.6,7.7,56.3,51
20,Thomas Bushell,South West,9.6,9.55,8.9,9.4,8.35,8.34,7.9,62.04,24
21,Zac Hutchinson,South West,8.8,9.6,8.7,9.05,9.3,8.8,7.7,61.95,25
22,Alexander Jones,South West,8.85,9.5,6.2,9.45,7.9,8,7.75,57.65,39
23,Brodie Creeden,South West,8.25,9.55,6.3,9.45,8.05,8.34,6.9,56.84,47
24,Jacob Ethan Razzaq,North West,8.35,9.1,8,9.05,8.75,8.5,7.8,59.55,36
25,Thomas Hughes,North West,8.9,8.95,8.9,9.45,8.35,8.77,6.8,60.12,32
26,Oliver Culverwell,North West,9.2,9.4,8,9.55,9.35,9.5,8.45,63.45,14
27,Bobby Walker,North West,9.2,9.15,7.9,9.3,9.1,8.44,8.85,61.94,26
28,Jack Maddock,North West,8.85,9.8,8.9,9.4,9.5,9.14,9.05,64.64,6
29,Zachary Chow,North West,8.5,9.25,7.5,8.15,8.65,7.44,8.2,57.69,38
30,Bradley Awulonu,East,8.85,9.1,6.7,9.15,8.75,8.57,8.15,59.27,37
31,Jude Lowden,East,9.35,9.3,8.4,9.55,9.6,9.5,7.8,63.5,12
32,Joshua Clarke,East,9.6,9.75,9.35,9.9,9.4,9,8.8,65.8,4
33,Aston Nightingale,East,9.5,9.45,8.9,10,9.4,9.17,7.3,63.72,11
34,Oliver Reeves,East,9.3,8.9,9.25,9.4,9.65,9.04,7.4,62.94,17
35,Ollie Graham,East,9.8,9.4,8.85,9.9,9.65,9.74,8.6,65.94,3
36,Matthew Theobald,London,9,9.65,8.9,9.35,8.9,9,7.5,62.3,23
37,Alexander Lydon,London,9.6,9.4,9,9.5,8.4,7.84,7.6,61.34,28
38,Elijah Ramirez,London,9.5,9.3,8.6,9.4,9.25,8.4,8.3,62.75,19
39,Jonah Morris,London,9.25,9.6,7.6,9.35,9.05,7.14,5.6,57.59,40
40,Jude Young,London,9.9,9.85,8,9.4,9.25,8.87,8.55,63.82,9
41,Louis Ledlin,London,9.4,9.65,7.7,9.3,9.65,9.44,8.6,63.74,10
42,Archie Dougherty,Yorkshire,9.25,9.35,9.5,9.9,9.5,9.6,9.5,66.6,2
43,Casey Finan,Yorkshire,9.1,9.35,8.7,9.5,9.6,7.94,9.3,63.49,13
44,Ewan Leask,Yorkshire,9.45,9.25,9.65,9.7,9.5,9.7,9.7,66.95,1
45,Elliott Welding,Yorkshire,9.15,9.05,5.9,9.45,6.9,9.34,7.55,57.34,42
46,Sonny Atkinson,Yorkshire,9.45,9,8.7,9.75,9.4,8.97,8.1,63.37,16
47,Alexander Canning,Yorkshire,8.5,8.55,6.8,9.1,8.3,7.1,7.7,56.05,53
48,Benjamin Griffiths,Scotland,9.1,9.65,7.8,9.4,8.9,9.37,8.3,62.52,20
49,Charles Wardrop,Scotland,8.65,9.4,7.35,8.95,8.5,9.14,7.6,59.59,35
50,Corey Whitewick,Scotland,8.5,9.15,6.5,9.1,7.7,7.57,7.3,55.82,54
51,Alex Fraser,Scotland,9.3,8.6,7.2,9.55,8.45,8.64,5.2,56.94,46
52,Brodie Douglas,Scotland,9,9.4,7.9,9.4,8.5,9,7.3,60.5,29
53,Joshua Mawuena,Scotland,8.5,8.85,7.1,9.6,6.85,8.74,7.5,57.14,45
54,James Maundrell,West Midlands,8.3,9,6.2,9.15,8.2,9.07,6.6,56.52,48
55,Hayden Rankin,West Midlands,9.3,9.45,8.2,9.5,8.75,9.27,5.5,59.97,33
56,Charlie Bruton,West Midlands,8,7.55,8,8.65,7.75,8.24,4.8,52.99,57
57,Daniel Djusko,Isle of Man,8.15,8.8,5.5,8.85,8,8.44,7.2,54.94,55
