No,Name,Team,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,POS
164,Thomas Hammond,South West,9.05,9.3,7.65,9.8,8.85,9.2,8.9,62.75,1
163,James Smith,South West,9.15,9.3,7.4,9.65,9.35,9.25,8.5,62.6,2
138,Oliver Wiley,East,9.3,9.2,7.9,9.7,9.35,8.85,7.75,62.05,3
149,Benzi Warishally,South East,8.85,9.4,7.8,9.7,8.6,8.8,8.5,61.65,4
161,Gabriel Urzica,South West,8.85,8.95,8,9.05,8.9,8.75,8.7,61.2,5
159,Cholwe Hachipuka,South West,9.1,9.25,8.1,9.95,8.5,8.5,7.5,60.9,6
147,Aidy Jarred,South East,9.2,9.55,6.5,9.55,8.65,8.75,8.4,60.6,7
155,Kai Napier-Mackman,London,8.5,8.4,7.6,9.6,8.95,9.15,8.35,60.55,8
160,Edward Gould,South West,8.95,9.25,7.8,9.5,8.5,8.05,8.45,60.5,9
119,Kallan Lister-Short,North West,8.75,9,6.95,9.55,8.7,8.85,8.7,60.5,9
112,Blake Mcmanus,East Midlands,9.3,9,7.95,9.45,7.45,8.9,8.3,60.35,11
135,Connor Cummings,East,8.5,8.85,7.6,9.6,9.4,8.9,7.4,60.25,12
152,Tristan Lamble,South East,9.1,9.15,7.55,9.7,8.15,8.5,7.95,60.1,13
110,Toby Holton,Yorkshire,8.4,9.3,7.2,9.2,9.2,7.65,9.05,60,14
133,Liam Cawdell,South,9,8.95,7.9,9.4,8.85,8.3,7.4,59.8,15
151,Petar Kavaldzhiev,South East,8.75,8.65,6.7,9.65,8.8,8.9,8.35,59.8,15
148,Alfie Byers,South East,8.85,9,7.35,9.5,8.7,8.85,7.5,59.75,17
122,Oscar Jellyman,North West,8.75,9.5,7.1,9.3,8.6,8.4,8.1,59.75,17
121,Laurence Richardson,North West,9.15,8.75,7.3,9.15,8.65,8.25,8.5,59.75,17
120,Kyle Millar,North West,9.15,9.6,6.6,9.1,9,9.1,6.9,59.45,20
150,Jaiden Reive,South East,8.2,9.15,7.4,9.8,8.6,8.6,7.7,59.45,20
108,Rhys Watkinson,Yorkshire,8.8,9.3,7.25,9.25,8.25,8.65,7.7,59.2,22
162,Jack Mcmanus,South West,9.05,8.9,7.2,9.6,8.2,8,8.15,59.1,23
