No,Name,Team,Floor,Pommel,Rings,Vault,APPP,P/Bars,H/Bar,PPP,Ind Total,POS
429,Raekwon Baptiste,West Midlands,9.5,7.7,9.45,9.7,9,8.7,9.1,9,72.15,1
424,Sam Mostowfi,South East,8.5,7.95,9,9.5,9.4,9.3,9.4,8.65,71.7,2
428,Korben Fellows,West Midlands,8.4,9.2,8.7,9.625,9.25,8.9,8.85,8.4,71.325,3
431,Jake Johnson,Yorkshire,6.4,9.45,8.95,7.8,8.45,9.6,9.2,9.45,69.3,4
425,Samuel Ghinn,South East,8.15,8.3,8.8,8.8,8.9,8.6,9,8.3,68.85,5
423,Fraser Griffiths,South East,8.5,8.3,8.65,9.2,8.85,7.4,8.7,8.5,68.1,6
427,Kai Yin Ho,West Midlands,7.8,6.65,8.45,9.175,8.5,9.4,9.2,7.5,66.675,7
432,Luke Whitehouse,Yorkshire,8.15,8.15,7.8,9.7,8.9,6,9,8.3,66,8
436,Thomas Saunders,South West,8.45,6.3,7.3,9.735,8.95,5.1,9.15,8.95,63.935,9
435,Conor McGrath,East Midlands,5.45,8.35,7.25,8.275,8.55,8.6,8.4,8.15,63.025,10
422,Luke Morrison,East,7.8,3,7.85,9.25,8.25,5.5,7,7.9,56.55,11
437,Colton Dudley,London,7,5.95,6.6,0,8.5,5.6,7.45,7,48.1,12
