Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
352,Simon Toussaint,Yorkshire,9.3,8.05,9,9.65,8.8,7.2,8.7,9.4,70.1,1
351,Jack Stanley,Yorkshire,9.15,8.425,8.6,9.7,8.15,9.15,8.5,8.25,69.925,2
358,Liam Beard,Wales,8.85,8.225,8.3,9.55,9.35,8,8.4,7.75,68.425,3
350,Liam Jury,East Midlands,9,8.05,8.75,8.1,8.6,8.45,6.2,8.65,65.8,4
356,Frederick Nelson,North,8.1,7,8.7,8.25,7.55,8.05,8.9,8.1,64.65,5
357,Finlay Dunne,North West,8.4,6.95,7.05,8.95,7.95,8.3,8.25,7.95,63.8,6
348,Anton Adewale,South East,8.4,7.625,6.95,9.65,9.15,8,3,8.45,61.225,7
353,Kieron Burch,East,7,6.4,6.05,9.6,8.8,7.4,8.2,7.3,60.75,8
355,Ryan Cirino,East,8.2,6.875,7.55,9.7,7.8,8.55,4.3,7.65,60.625,9
354,Michael Ridgway,East,7.05,6.8,6.85,9.4,8.4,6.5,7.5,8.05,60.55,10
361,Nimeire Mavounda,London,7.8,6.175,5.5,9.35,8.35,7.45,8.35,6.85,59.825,11
349,Cody Trueman,South East,5.6,3.75,6.1,8.1,7.8,4.05,5.5,6.55,47.45,12
359,Oscar Harper,Wales,0,0,0,0,0,0,0,0,0,
360,Jamie Brennan,London,0,0,0,0,0,0,0,0,0,
