Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
264,Oakley Banks,South East,9.25,8.65,8.8,9.375,8.9,9.3,8.57,8.7,71.545,1
279,Patrick Watkinson,Yorkshire,8.9,8.4,8.7,9.2,9.45,9.05,8.97,8.7,71.37,2
280,Reuben Ward,Yorkshire,9.4,9,9.267,9.25,8.85,9.2,8.1,7.8,70.867,3
265,Scott Gordon-Menzies,South East,9.1,7.45,8.867,9.75,8.9,9.15,8.63,8.95,70.797,4
278,Alex Morris,Yorkshire,8.4,8.775,9,9.575,9.35,8.5,7.7,9.3,70.6,5
277,Winston Powell,West Midlands,8.6,8.05,8.767,9.675,9.55,8.15,8.73,8.75,70.272,6
271,Danny Crouch,East,9.15,7.725,9.167,9.7,9.2,7.65,8.5,8.9,69.992,7
263,Joshua Porter,South East,9.15,7.175,8.967,9.275,8.8,8.4,8.2,8.75,68.717,8
267,Charlie Firth,North West,8.4,8.075,8.967,9.3,9.2,8.4,7.13,8.8,68.272,9
269,Alexander Yolshina-Cash,East Midlands,8.5,8.575,9.1,9.45,9,7.35,8.43,7.85,68.255,10
276,Luke Marsh,West Midlands,9.2,7.3,8.967,8.95,9.25,7.1,8.8,8.4,67.967,11
270,Charlie Harvey-Lloyd,East,8.05,5.9,8.934,9.55,9.4,8.75,8.1,7.85,66.534,12
268,Joshua Binns,North West,8.5,6.625,8.3,9.325,9.2,7.6,7.53,6.9,63.98,13
274,Dylan Kazmierowski-Tuck,West Midlands,8.3,4.25,8.867,9.375,8.65,7.95,8.37,8.2,63.962,14
273,Luca Hammond,East,6.35,4.625,8.4,8.925,8.65,7.3,7.63,9.45,61.33,15
266,Toby Splain,South East,8.6,6.375,8.5,9.325,9.05,6.9,3.83,8.1,60.68,16
272,Edmund Seabourne,East,7.25,5.825,8.7,8.35,8.8,5.55,7.63,8.4,60.505,17
275,Dylan Taylor-Walton,West Midlands,8.2,5.7,8.634,9.025,8.1,5.3,7.57,7.5,60.029,18
281,T'Khai Phillips,London,0,0,0,0,0,0,0,0,0,
