Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
496,Winston Powell,West Midlands,9.55,9.8,9,10,9.6,9.6,10,9.2,76.75,1
460,Joshua Binns,North West,9.4,9.75,8.7,10,9.7,9.35,9.5,9.5,75.9,2
494,Luke Joshua Marsh,West Midlands,9.15,9.5,8.9,10,9.05,9.25,9.7,9.3,74.85,3
478,Luca Hammond,East,9.4,9.65,9.2,9.85,9.4,8.4,9.35,9.35,74.6,4
474,Charlie Harvey-Lloyd,East,9.4,9.4,9.55,9.9,9.5,9.3,8.2,9.25,74.5,5
483,Patrick Watkinson,Yorkshire,9.5,9.5,9.2,9.1,9.5,9.4,8.05,9.6,73.85,6
466,Scott Gordon-Menzies,South East,9.3,9.55,8.95,9.55,9.25,8.45,9.45,9.15,73.65,7
491,Alexander Yolshina-Cash,West Midlands,9.65,9.55,8.75,9.8,9.5,9.15,8.05,9.05,73.5,8
484,Harrison Harris,Wales,9.05,9.75,8.85,9.75,9.45,7.8,9.6,9.05,73.3,9
490,Rayane Arab,London,8.85,9.8,8.15,9.35,9.6,9.25,9.5,8.6,73.1,10
462,Reuben Ward,North West,9.3,9.8,8.55,9.8,9.1,9.4,9,8,72.95,11
479,T'Khai Phillips,East,9.3,9.5,9.05,10,9.45,9.15,7,9.3,72.75,12
475,Danny Crouch,East,9.2,9.8,8.05,9.75,9.3,8.8,9.1,8.5,72.5,13
456,Toby Splain,South,9.3,9.35,8,9.25,8.85,9.05,9.35,9.3,72.45,14
495,Orlando Thompson,West Midlands,8.75,9.5,8.85,9.6,8.75,8.6,9.5,8.85,72.4,15
492,Dylan Kazmierowski-Tuck,West Midlands,9.15,9.05,8.15,9.6,9,8.3,9.55,8.8,71.6,16
469,Ben Henderson,Scotland,9.1,9.35,9,9.5,8.85,7.6,8.7,9.3,71.4,17
457,Alex Morris,North West,9.8,9.35,7.7,9.4,9.45,6.4,9.35,9.65,71.1,18
470,Ethan Yates,Scotland,8.95,9.4,8.15,9.9,9.2,7.55,8.5,8.9,70.55,19
493,Dylan Taylor-Walton,West Midlands,9.2,9.1,8.55,9.55,9,8.45,9.1,7.2,70.15,20
473,Robbie Young,Scotland,8.85,9.45,8.4,9.25,9.35,6.5,8.9,9.1,69.8,21
455,Max Kendall,South,8.75,9.05,7.9,9.35,9.45,7.25,8.3,9.35,69.4,22
464,Joshua Porter,South East,9.2,9.65,7.75,9.35,9.4,7.6,9.35,7,69.3,23
465,Linus Carminger,South East,8.95,9.2,7.85,9.7,9,8.3,7.75,8.55,69.3,23
476,Edmund Seabourne,East,9.35,9.7,9.05,9.2,9,7.5,6.35,8.75,68.9,25
467,Bailey Yates,East Midlands,9.25,9.75,8.05,9.7,9.3,5.8,9.15,7.75,68.75,26
481,Sam Street,South West,9.55,7.65,7.85,9.7,9.15,6.7,9.35,8.25,68.2,27
463,Jamie Lakin,South East,8.8,9,8.4,9,8.7,7.05,9.05,8.1,68.1,28
468,Solomon Gordon,East Midlands,9.35,8.65,7.45,9.8,8.7,6.9,8.35,8.8,68,29
459,Jake Bolton,North West,8.7,9.25,6.15,9.55,8.9,8.2,8.7,7.95,67.4,30
487,Jack Mower,London,8.8,8.8,7.55,9.7,8.75,5.15,9.6,8.2,66.55,31
485,Amari Faiz-Wells,London,8.5,9.2,7.55,9.35,8.75,7.25,9.45,6.1,66.15,32
480,Reuben Hart,South West,8.1,7.9,7.35,9.2,8.7,7.7,9.2,7.9,66.05,33
461,Loui Heap,North West,8.65,9.4,8,9.4,9.3,5.4,7.9,7.8,65.85,34
477,James Philip,East,9.05,9.65,7.55,9.8,8.7,7.55,5.6,7.9,65.8,35
454,Max Davies,South,9.1,8.55,7.65,9,8.95,6.9,7.05,8.2,65.4,36
451,Connor Sullivan,South,5.5,9.4,8.4,9.8,8.6,6.45,8.9,7.85,64.9,37
486,Ben Horsted,London,8.3,8.45,7.2,9.45,9.05,7.5,8.1,6.8,64.85,38
482,Shay Vann-Hinds,South West,8.7,9.15,6.1,9.9,8.85,5.2,8,8,63.9,39
497,Joss Phillips*,West Midlands,8.85,8.65,7.35,9.15,9.1,5.55,7.25,7.6,63.5,40
489,Pacey Foster,London,8.6,8.9,6.9,9.6,8.4,5.25,8.5,7.3,63.45,41
471,Fraser Somerville,Scotland,8.4,8.8,7.25,9,8.7,7,6.6,7.7,63.45,41
472,Josh Cameron,Scotland,7.15,8.15,5,9.35,8.45,6.5,6.75,6.1,57.45,43
453,Kailen Ollier,South,6.6,8.45,5.75,9.15,8.35,5.1,7.6,4.6,55.6,44
452,Daniel Goodwin,South,6.65,6.6,6.4,8.4,8.55,4,9,4.5,54.1,45
458,Charlie Firth,North West,dnc,dnc,dnc,9.75,9.15,dnc,dnc,dnc,18.9,46
