No,Name,Team,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,POS
8,Jacob Ryan,North West,10,9.65,9.05,9.8,9.7,9.05,9.15,66.4,1
11,Finlay Matthews,East Midlands,9.6,9.85,8.75,9.65,9.05,9.6,9.3,65.8,2
4,Orlando Thompson,West Midlands,8.35,10,9.7,9.75,9.9,8.65,8.8,65.15,3
23,Linus Carminger,South East,7.95,9.8,8.95,10,9.5,9.2,9.2,64.6,4
51,Carl Galea,Yorkshire,9.1,9.7,8.5,9.65,9.2,9,9.4,64.55,5
37,Joseph Waller,East,8.65,9.45,8.6,9.55,9.35,9.35,9.25,64.2,6
7,Finnian Gillespie,North West,8.25,9.65,8.95,9.75,9.8,9.55,8.15,64.1,7
9,Jake Manion,North West,9.5,9.35,8.15,9.9,10,8.75,8.15,63.8,8
36,Brodie Davis,East,9.6,9.5,8.15,9.55,9.7,9.5,7.4,63.4,9
10,Loui Heap,North West,8.6,9.4,9.4,9.75,9.2,9.3,7.75,63.4,9
19,Troy Gaskell,Wales,9,9.75,7.9,9.55,9.6,8.95,8.65,63.4,9
1,Christian Mobsby,West Midlands,8.65,9.9,8.95,9.55,9.6,8.55,8,63.2,12
34,Theo Jones,South West,8.2,9.75,9.6,9.2,9.45,8.5,8.25,62.95,13
54,Jack Hodgson,North,9.5,9.7,8.3,9.55,8.45,8.75,8.65,62.9,14
55,Thomas Coppen,North,9.65,10,9,10,8.2,9.1,6.8,62.75,15
27,Connor Sullivan,South,9.35,9.7,8.6,9.25,9.2,9.3,7.15,62.55,16
25,Reece Besley,South East,9.5,9.4,9,9.75,9.6,7.25,7.9,62.4,17
40,Tylar Sandy,East,9.3,9.55,8.95,9.05,8.65,8.6,8.1,62.2,18
31,Alfie Collier,South West,9.65,9,8.4,9.4,8.3,8.65,8.65,62.05,19
29,Harry Eckersall,South,8.9,8.9,9,9.8,8.6,9.1,7.65,61.95,20
35,Thomas Payne,South West,8.9,10,8.4,9.2,8.8,9.05,7.45,61.8,21
2,Michael Weston,West Midlands,8.65,9.05,8.95,9.6,8.9,9.05,7.5,61.7,22
33,Reuben Hart,South West,8.5,8.55,8.35,9.5,8.9,8.9,8.85,61.55,23
53,Freddie Connor,Yorkshire,8.8,9.55,8.6,9.6,8.8,8.9,7.25,61.5,24
16,Aled Lewis,Wales,9.4,8.65,8,9.7,8.2,8.8,8.75,61.5,24
32,Freddie Butchers,South West,8.5,9.8,8.9,7.7,9.2,9.15,8.1,61.35,26
15,Stanley Cropper,East Midlands,8.3,9.9,7.65,9.25,8.75,8.65,8.8,61.3,27
6,Daniel Cockx,North West,9.1,8.05,8.75,8.95,9.2,7.8,9.15,61,28
41,Cameron Smith,Scotland,8.35,9,7.6,9.15,9.1,8.85,8.65,60.7,29
39,Theo Baker,East,8.15,9.8,8.05,9.5,8.5,8.85,7.65,60.5,30
21,Frank Rice,South East,8.3,9.4,8,9,9.2,8.2,7.75,59.85,31
48,Varusian Birabanathan,London,8.95,10,8.8,8.85,7.3,8.6,7.2,59.7,32
17,Jayden Lewis,Wales,8.35,9.75,8.9,9.9,8,7.45,7.35,59.7,32
30,Max Davies,South,9.2,7.95,8.65,9.6,8.1,8.2,7.5,59.2,34
13,Joshua Goodman-Dight,East Midlands,9,9.4,7.8,8.75,7.9,8.45,7.9,59.2,34
42,Daniel Sabba,Scotland,8,9.4,8.05,9.55,8.4,8.6,6.95,58.95,36
44,Rio Johnston,Scotland,7.15,9,8.7,9.55,8.75,8.85,6.55,58.55,37
45,Robby Bain,Scotland,7.9,9.9,8,9.15,8.8,6.2,8.1,58.05,38
38,Kyle Davies,East,7.5,9.65,9.05,9.4,8,8.75,5.55,57.9,39
28,Dylan Harris,South,8.6,9.35,8.3,9.55,8.05,8.25,5.7,57.8,40
22,George Ainley,South East,8.3,9.4,7.25,9.65,8.75,7.8,6.55,57.7,41
18,Joseph Dunster,Wales,8.5,8.9,7.95,9.15,7.1,8,8,57.6,42
24,Luca Taylor,South East,7.55,8.95,7.6,9.4,7.65,8,7.85,57,43
46,Leo Parry Wingfield,London,7.75,8.7,6.7,8.95,8.75,8.9,5.9,55.65,44
3,Nathan Stainforth,West Midlands,8.85,8.9,7.7,9.55,8.6,5.1,6.8,55.5,45
5,Tomoya Kitchen,West Midlands,7.9,9.5,7.3,9.15,8.75,5.5,6.95,55.05,46
43,Philip Hinchcliffe,Scotland,8.35,8.5,7.4,9.15,7,8.2,6.4,55,47
47,Trey Mcgregor,London,8.6,9.2,5.7,9.55,7.5,7,6.35,53.9,48
52,Ethan Dyson,Yorkshire,7.3,7.8,7.7,9.65,6.5,8.25,5.95,53.15,49
14,Leo Hoggard,East Midlands,7.9,9.85,6.9,8.75,7.6,7.95,3.75,52.7,50
26,Alex Zervos,South,8.1,9.55,6.45,9.1,6.8,5.15,6.8,51.95,51
49,Zion Nelson Bent,London,8.15,8.9,4.95,9.45,6.3,7.65,6.1,51.5,52
12,Harry Norman,East Midlands,8.5,9.45,7.05,0,7.3,5.5,6.9,44.7,53
