Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
73,Tom Killick,South East,9.13,9.1,8.95,8.9,9.5,9,9.1,63.68,1
78,Thomas Jones,West Midlands,8.73,9.05,9.25,8.9,9.3,9.3,9,63.53,2
72,Karl Hibberd,South East,8.9,9.35,9.1,8.8,9.1,9.2,8.7,63.15,3
69,Samuel Midgley,Yorkshire,8.47,9.3,9.15,9.2,8.6,9,7.95,61.67,4
85,Jack Helps,South,8.93,9.3,7.75,9.4,9,9,7.8,61.18,5
66,Hayden Baldwin,Yorkshire,8.9,7.8,8.85,9,9.3,8.95,8,60.8,6
75,Keelan Freeman,South West,8.8,8,7.75,9.4,8.8,9.15,8.75,60.65,7
80,Dominic Bigsby,East,8.9,7.35,9.15,9,9.2,8.5,8,60.1,8
67,Kian Taylor,Yorkshire,8.64,6.85,8.25,9.3,9.3,8.95,8.8,60.09,9
71,James Miller,South East,8.07,9.2,9.05,8.3,9.2,8.1,8,59.92,10
74,Calum Walklett,South West,8.4,9.45,8.5,7.6,8.9,9.3,7.6,59.75,11
79,Cameron Lister,East,7.97,8.9,7.8,9.5,9.2,9.2,5.95,58.52,12
86,Joseph Devine,South,8.1,9.1,8.05,7.3,6.8,8.9,8.75,57,13
68,Reuben Prudames,Yorkshire,8.2,7.35,8.55,8.9,7.6,8.65,7.2,56.45,14
84,Harry Hayes,South,7.3,9.15,7.35,7.4,8.4,8.5,7.35,55.45,15
88,Sam Plant,East Midlands,8.1,8.55,6.95,7.7,8.5,6.85,8.25,54.9,16
63,Harri Morgan,Wales,6.34,8.4,7.8,8.2,9.1,8.6,6.4,54.84,17
62,Dominic Jones,Wales,7.5,7.5,7.7,8.3,7.4,7,7.05,52.45,18
82,Kieran Owen,North West,5.27,9.35,8.15,7.4,6.9,7.4,7.7,52.17,19
77,Thomas Kingdon,South West,8.3,4.5,6.9,8.6,9,6.2,7.65,51.15,20
76,Lewis Dennis,South West,8.74,5,6.3,9.5,8.5,4.9,7.4,50.34,21
61,Adam Pocock,Wales,4.6,8.05,7.1,9.2,8.9,8.15,3.8,49.8,22
81,Scott Smith,East,5.27,8.4,8,8.5,6.4,6.3,6.5,49.37,23
65,Nathan Branca,London,6.23,8.15,7.7,0,9.4,8.8,7.05,47.33,24
83,Luke Steggles,North West,5.04,6.6,5.7,7.2,7.5,6.85,6.95,45.84,25
70,Cameron Baker,South East,4.2,5.15,7.6,6.7,4.7,6,4.75,39.1,26
