Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
155,Elliott  Vernon,East Midlands,9.2,9.65,8.4,9.85,9.2,8.8,9.7,64.8,1
116,Leo Hedley,East,8.9,9.5,8.85,9.8,8.7,8.5,8.8,63.05,2
160,Declan Jones,South West,8.5,9.75,8,9.8,8.9,9,9.1,63.05,2
134,James Kirk,West Midlands,8.7,9,8.45,9.4,9.1,9.1,8.8,62.55,4
113,Finley Homfray-Cooper,East,8.2,9.6,8.3,9.65,9.2,8.6,8.95,62.5,5
170,Will Barnes,North West,8.75,9.7,7.05,9.35,9.4,8.9,9.35,62.5,5
157,Orestis  Bacon,East Midlands,8.9,8.9,8.15,9.8,8.3,9,9.1,62.15,7
122,James Buttle,South East,8.2,9.3,8.5,9.5,8.6,9.1,8.9,62.1,8
167,Jack Sheppard,North West,7.35,9.8,7.3,9.85,8.9,8.9,9.9,62,9
106,Robert Kidd,Yorkshire,8.4,9.15,7.6,9.35,9.1,9.1,9.25,61.95,10
104,Matthew Creed,Yorkshire,8.5,9.6,7.05,9.4,8.8,8.8,9.4,61.55,11
165,Eli Mansfield,North West,8.7,9.3,7.2,9.55,9.2,9.3,8.15,61.4,12
130,Wil Wheeler,Wales,9.4,9.55,7.9,9.1,8.4,8.3,8.75,61.4,12
127,Harvey Gough,Wales,8.8,9.35,8.05,9.15,8.5,8.4,9.15,61.4,12
124,Thomas Mann,South East,8.7,9.4,7.75,9.4,8.6,8.8,8.7,61.35,15
114,Finley Jones,East,8.15,8.8,7.85,9.45,9.1,9.1,8.7,61.15,16
143,Stuart Robson-Bain,North,8.65,9.05,7.25,9.75,8.4,8.4,9.6,61.1,17
173,Rhys Norfolk,London,8.7,9.75,6.9,9.65,8.5,9.2,8.2,60.9,18
148,James Carmichael,South,8.5,9.65,7.1,9.5,9.1,8,8.9,60.75,19
161,Finley Paul,South West,8.8,9.6,7.45,9.5,7.6,8.9,8.8,60.65,20
132,Oliver Pendleton,West Midlands,8.2,9.5,8.1,9.85,8,9,7.95,60.6,21
