Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
149,Joe Wilson,South,8.5,9.75,7.4,9.55,8.2,8.1,9.05,60.55,22
153,Daniel Swain,East Midlands,8.7,9.15,7.35,9.7,8.6,8.1,8.9,60.5,23
131,Charlie Swarbrook,West Midlands,8.15,9.25,7.8,9.45,9,8.3,8.5,60.45,24
118,Thomas Makhan,East,6.8,9.8,8.65,9.4,8.7,9.3,7.65,60.3,25
150,Thomas Jenkins,South,8.6,9.7,7.6,9.7,7.8,8.1,8.8,60.3,25
151,Owen Nickless,South,8.5,9.5,6.5,9.5,8.4,8.6,9.3,60.3,25
172,Daniel Hayden,London,8.8,9.7,7.15,9.55,8,8,9,60.2,28
128,Noah Higgs,Wales,8.8,9.5,6.85,8.7,9.1,8.8,8.4,60.15,29
156,Kian Keogh,East Midlands,8.3,9.7,7.55,9.5,8.9,7.4,8.7,60.05,30
158,William Fergusson,East Midlands,8,9.15,7.5,8.75,8.6,9,8.8,59.8,31
144,Tyler Lane,North,7.55,9.45,6.75,9.9,8.8,8.6,8.6,59.65,32
123,Micah Newton,South East,8.45,8.3,7.55,9.45,8.1,8.9,8.85,59.6,33
126,Daniel Winterbourne,Wales,8,9,7.9,9.1,7.8,8.4,9.35,59.55,34
169,Vinnie Jackson,North West,8.35,9.6,8,9.6,6.8,8.7,8.45,59.5,35
163,Marley Tyndall,South West,8,9.45,7.15,9.4,8.1,8.5,8.85,59.45,36
174,Romano Wang,London,8.2,9.4,6.05,9.7,8.6,8.4,9.1,59.45,36
166,Ethan Billington,North West,8.6,9.5,5.95,9.2,8.7,8.4,8.85,59.2,38
154,Jack Morgan,East Midlands,7.8,9.75,6.8,9.2,8.8,8.4,8.4,59.15,39
117,Sonny Warboys,East,8.25,9.05,8.2,9.55,7.5,7.3,9.25,59.1,40
171,Aareon Ung,London,8.9,9.5,5.9,9.4,7.9,7.7,9.8,59.1,40
162,Lewis White,South West,8.5,9.1,7.4,9.65,8.1,7.9,8.4,59.05,42
145,William Johnson,North,8,9.6,7,9.75,8.7,7.5,8.15,58.7,43
176,Victor Prodanov,London,8.3,9.6,6.9,9.2,8,7.8,8.9,58.7,43
168,Robbie Wild,North West,7.8,9.85,8.5,9.7,7,9.2,6.45,58.5,45
152,Sam Mould,South,7.4,9.4,7.1,9.75,7.9,9,7.95,58.5,45
159,Charlie Hill,South West,8.2,8.8,7.2,9.9,7.4,8.2,8.65,58.35,47
175,Tycho Collins,London,8.5,8.8,7.15,8.95,8.1,7.9,8.6,58,48
115,Jamie Wilmer,East,8.7,8.3,7.5,9.4,7.8,7.6,8.65,57.95,49
110,Kieran Walker,Scotland,8.65,8.2,7,9.35,7.9,8.1,8.7,57.9,50
125,Charlie Williams,Wales,8.5,8.3,7,9.4,8.2,7.7,8.7,57.8,51
107,Ciran Mcmahon,Scotland,6.7,8.5,8.15,9.3,7.1,9.2,8.65,57.6,52
129,Toby Cole,Wales,8.1,8.8,6.55,9.2,8.4,8.1,8.35,57.5,53
108,Fraser Docherty,Scotland,8.15,8.85,7.65,8.9,7.6,7.9,8.4,57.45,54
142,Koby Collingwood,North,7.5,9.7,6.2,9.7,8,7.7,8.65,57.45,54
103,Maloney Megson,Yorkshire,8.3,8.25,6,9.5,8.1,8,9.1,57.25,56
112,Sebastian Mary,Scotland,8.1,8.7,7.15,8.95,6.9,8.7,8.6,57.1,57
133,James Jackson,West Midlands,6.7,9.65,6.75,9.1,8.2,8.5,8.05,56.95,58
164,Ryan Roast,South West,8.1,8.9,7.05,9.7,7.3,7.3,8.5,56.85,59
146,Harry Eyres,Isle Of Man,7.65,9.35,7.1,9.2,7.7,7.1,8.4,56.5,60
119,Archie Foster,South East,7.7,8.9,7.25,9.55,6.8,7.4,8.35,55.95,61
147,Ellis Down,South,7.7,9.75,6.9,9.2,7.4,6.4,8.3,55.65,62
120,Edwin Cross,South East,7.45,9.3,7.05,8.7,7.8,7.5,7.45,55.25,63
121,George Harvey,South East,8.05,7.8,7.25,9.15,8,7,7.95,55.2,64
135,Oliver Bird,West Midlands,7.5,9,6.95,9.2,6.8,8.5,7.2,55.15,65
141,Finlay Martin,North,7.9,8.65,6.7,9.6,6.9,6.4,8.9,55.05,66
136,Sam Tarling,West Midlands,8.6,8.05,6.65,9.55,7.2,6.7,8,54.75,67
109,Charlie Anderson,Scotland,7.9,7.5,7.1,9.25,7.3,6.9,8.55,54.5,68
102,Joseph Tuton,Yorkshire,7.3,8.6,7.05,9.35,6.5,5.8,8.5,53.1,69
111,Leo Downes,Scotland,5.3,8.3,7.8,8.95,6.6,8,7.65,52.6,70
101,James Brooks,Yorkshire,7.2,8,6.7,9.1,7.1,5.3,8.1,51.5,71
105,Phoenix Kavanagh-Clark,Yorkshire,7.6,6.8,6.5,8.85,5.4,5.1,8.4,48.65,72
