Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
167,Ben Barclay,North West,6.9,7.55,8.9,6.95,8.75,7.35,8.3,54.7,14
168,Lewis Unsworth,North West,8.85,5.1,7.35,9.1,8.55,8.15,8.15,55.25,13
169,Mustapha James,North West,6.5,5.85,7.6,7.65,7.55,6.4,7.8,49.35,19
170,Thomas Rawcliffe,North West,7,4.9,7,8.7,8.3,7.6,8.9,52.4,18
171,Jacob Edwards,Wales,9.05,8.4,8.9,9.75,9.5,9.2,9.3,64.1,2
172,Archie Knowles,South,8.2,7.5,8.75,6.7,9.45,8.2,9.1,57.9,12
173,Benjamin Dowds,South,9.1,8.8,8.75,8.9,9.7,8.6,9,62.85,4
174,Finlay Morgan,South,8.25,8.4,8.55,9.05,8.75,8.45,8.45,59.9,8
175,Musa Siddiqi,South,8.05,8,9,8.95,9.5,8.75,9,61.25,6
176,Christopher O'Shea,London,8.15,8.8,9.2,8.95,9.15,8.45,8.8,61.5,5
177,Harrison Hoad,London,8.75,8.8,9.35,8.9,9.4,8.45,9.25,62.9,3
178,Brad Lewis,South West,8.1,7.7,8.7,7.9,8.75,8.4,8.75,58.3,11
179,Conner Blake,South West,8.55,9.5,9.1,8.25,8.85,7.55,8.6,60.4,7
180,James Puddy,South West,9,9.5,9,9.25,9.4,8.85,9.2,64.2,1
181,Daniel Lisney,East,8.1,8.75,7.25,9.1,9.45,8.35,7.7,58.7,10
182,Harvey Barlow,East,6.5,6.9,6.7,7.4,7.45,7.5,6.05,48.5,20
183,Theo Thomas,West Midlands,7.4,6.7,6.65,8.5,8.3,7.85,8.05,53.45,17
184,Ciaran Thompson,South East,2.8,6.65,8.2,7.45,6.45,6.75,7.3,45.6,21
185,Henry Clark,South East,8.2,4,8.8,8.75,8.4,6.9,9.25,54.3,15
186,Dovydas Kuciauskas,East Midlands,8.7,8,7.2,9.3,8.65,8.3,8.95,59.1,9
187,James Walker,East Midlands,4.53,6.7,8.5,9.5,8.8,8.1,7.8,53.93,16
