Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
494,Colbi Curtis,East Midlands,8.6,9.225,6.7,9.45,8.1,6.9,9,8,65.975,36
455,Aareon Ung,London,7.9,9.775,7.2,8.95,9.5,7,7.1,8.45,65.875,37
448,Ellis Owens,Wales,7.8,8.4,8.1,9.75,9.2,7.9,7,7.55,65.7,38
466,Oliver Houkes,South,8.1,9,7.5,7.85,9.6,6.6,8.8,8.15,65.6,39
462,Christian Corneal,South,7.1,9.9,8,9.15,8.9,7.95,7.6,6.4,65,40
493,Lochlan Brown,Scotland,7.3,9.325,7.65,9.35,9,6.25,7.7,8.15,64.725,41
445,Oliver Moss,East,8,8.875,6.55,8.95,9.1,6.95,8.8,7.15,64.375,42
450,Jack Sheppard,North West,7.9,9.85,6.8,9.5,9.5,6.7,6.6,7.05,63.9,43
441,Cohen Stanley,East,6.5,8.775,6.6,9.35,9.1,6.9,7.8,8.8,63.825,44
454,Ted Charnley,North West,8.1,9.3,6.1,9.05,8.95,7.25,6.7,8.35,63.8,45
492,Kyle Clelland,Scotland,7.8,9.125,7.05,8.3,8.85,6.8,7.6,8.2,63.725,46
497,Orestis T K Bacon,East Midlands,8.7,7.75,7.55,8.95,8.5,6.65,6.8,8.75,63.65,47
469,Freddie Falconer,South West,8.5,9.3,6.1,8.5,9.35,7.1,6,8.7,63.55,48
463,Isaac Sperrin,South,5.7,9.325,7.9,8.5,8.95,7.6,5.7,7.7,61.375,49
468,Declan Jones,South West,6.7,8.85,8.1,9.05,8.85,6.8,7.7,5.3,61.35,50
461,Ashley Hassett,South,6.5,9.425,5,8.8,9.15,6.4,7.4,8.35,61.025,51
465,Joe Back,South,5.9,7.875,6.3,9.55,9.1,7.35,9.2,4.3,59.575,52
496,Joseph Fisher,East Midlands,5.7,7.925,6.75,9.45,8.45,7.1,7.8,6.4,59.575,52
498,Reilly Crowther,East Midlands,5.9,8.225,6.4,9.05,8.5,5.4,7.1,5.1,55.675,54
491,Chris Williamson,Scotland,7.2,8.15,5,8.5,9.05,5.7,4,6.3,53.9,55
460,Tycho Collins,London,0,8.35,0,0,8.9,0,0,6.75,24,56
473,Brandon King,West Midlands,0,10,9.55,0,0,0,0,0,19.55,57
499,William Fergusson,East Midlands,7.1,0,0,0,0,0,0,0,7.1,58
