Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
452,Joseph Feery,North West,9.7,9.6,9.25,10,9.9,9.25,9.5,9.45,76.65,1
458,Oliver Condon,London,9.5,10,9.1,9.9,9.85,8.95,9.5,9.4,76.2,2
477,Trumaine Brown,West Midlands,9.4,10,9.6,9.9,9.9,8.65,8.7,9.4,75.55,3
451,Jed Solomon,North West,9.25,10,8.8,10,9.55,9,9.2,9.7,75.5,4
478,Zion Aserie,West Midlands,9.2,10,9.75,10,9.8,8.05,9.3,9.35,75.45,5
446,Alexander Niscoveanu,Wales,8.4,10,9.5,10,9.45,9.2,9.2,8.95,74.7,6
489,Michael Goddard,Yorkshire,8.3,9.55,9.5,9.6,9.8,9.4,9,9.4,74.55,7
444,Kieran Davies,East,9.1,9.875,8.25,9.8,9.2,8.9,9.1,9.6,73.825,8
487,Jonas Rushworth,Yorkshire,9.2,9.475,8.6,9.15,9.55,9,9.4,9.4,73.775,9
470,Jay Franklin,South West,8.8,9.55,8.85,9.7,9.75,8.85,8.9,9.3,73.7,10
476,Oliver Hallett,West Midlands,8.9,9.675,8.8,9.8,9.5,8.65,9.1,8.9,73.325,11
485,Thomas O'Connor,South East,8.5,9.95,8.8,9,8.95,9.15,9.3,9.1,72.75,12
442,Daniel Leighton-Scott,East,8.3,9.325,8.45,9.8,9.5,9.1,8.9,9.25,72.625,13
475,Max Jenkins,West Midlands,8.6,9.7,8.85,9.7,9.5,8.9,9.1,8.1,72.45,14
490,Robert Kidd,Yorkshire,8,9.45,9.15,9,9.45,9.2,9.3,8.75,72.3,15
456,Finnley Dunning,London,9,9.95,8,9.9,9.25,7.85,9,9.1,72.05,16
453,Owen Craig,North West,8.5,9.575,8.8,9.6,9.4,9,8.6,8.35,71.825,17
459,Trigg Dudley,London,8.4,9.7,7.7,9,9.3,8.7,8.8,8.9,70.5,18
484,Santo Fuoco,South East,9.3,9.625,8,9.95,9.15,6.9,8.7,8.85,70.475,19
457,Mounir Bennadi,London,7.5,9.925,8.05,9.55,9.55,8.05,8.9,8.75,70.275,20
488,Kyle Clayton,Yorkshire,8.3,9.425,8.9,9.15,9.25,8.5,8.3,8.4,70.225,21
443,Harry White,East,8.4,9.75,7.2,9.65,9.5,8.4,8.7,8.6,70.2,22
495,Elliot Vernon,East Midlands,8.3,9.775,8.8,8.75,8.9,8.7,7.9,8.85,69.975,23
472,Noah Ford,South West,8.3,9.525,8.3,9.15,9.4,7.9,7.8,9.4,69.775,24
464,Ivanalexander Donchev,South,8.3,8.925,8.4,9.6,9.4,8.65,8.7,7.45,69.425,25
467,Calum Honey,South West,9,8.75,7.65,9.9,9.3,8.15,8.7,7.8,69.25,26
479,Oliver Pendleton,West Midlands,8.7,9.325,8.4,9.9,9.45,7.7,8,7.75,69.225,27
486,Jack Kershaw,Yorkshire,8.9,9.575,7.5,8.45,9.3,7.85,8.8,8.2,68.575,28
474,James Kirk,West Midlands,8.3,9.025,9.1,9.15,9.5,7.9,7,8.6,68.575,28
449,Ethan Gray,North West,7.8,9.625,6.8,9.25,9.4,8.25,8.5,8.6,68.225,30
481,Dylan O'Rourke,South East,8.6,8.425,8.3,9.05,9,8,9.1,7.35,67.825,31
480,Christopher Chan,South East,7.9,10,8,8.8,9.2,7.1,8.7,8.1,67.8,32
483,Jools Gardner,South East,6.9,8.8,8.7,9.4,8.9,8.4,8.7,7.7,67.5,33
471,Marley Tyndall,South West,7,9.6,8.2,9.6,9.05,7.1,8.7,7.45,66.7,34
447,Cj Lewis,Wales,7.7,9.325,8,8.9,9.2,7.9,6.8,8.45,66.275,35
