Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
423,Raekwon Baptiste,West Midlands,9.2,8.9,8.8,9.55,8.8,8.4,9.05,9.2,71.9,1
421,Korben Fellows*,West Midlands,8.3,9.4,7.8,8.95,9.25,9.8,8.5,9.25,71.25,2
402,Sam Mostowfi,South East,8.8,7.9,7.7,9.35,8.7,9.5,9.6,9.6,71.15,3
401,Jasper Smith-Gordon,South East,8.5,7.7,6.55,9.5,9.1,8.8,9.45,9.65,69.25,4
422,Kai Yin Ho,West Midlands,7.75,8.15,7.45,9.4,8.3,9,9.5,9,68.55,5
403,Samuel Ghinn,South East,8.6,8.3,7.95,8.3,9.1,9.3,6.3,9.05,66.9,6
412,Thomas Saunders,South West,8.35,7.55,7.8,7.95,8.9,8.5,7.2,9.55,65.8,7
406,Luke Whitehouse,Yorkshire,8.25,7.5,4.15,9.7,8.5,9.2,8.5,9.15,64.95,8
404,Fraser Griffiths*,South East,8.15,6.8,7.35,8,9,7.4,8.9,9.15,64.75,9
411,George Honnor,South West,8.9,4.35,8,9.15,8.9,5.2,9.2,9.5,63.2,10
432,Kurtis Stanley,South,7.75,3.1,5.9,8.15,7.35,7.4,6,8.05,53.7,11
409,Luke Morrison,East,7.6,3.35,3.85,8.05,7.95,7,8.4,7.35,53.55,12
410,Euan McLellan,Scotland,6.45,5.85,5.6,8.2,8,6.5,7.7,4.95,53.25,13
424,Thomas Paradise,West Midlands,0,8.85,7.6,0,8,9.3,8.2,8.25,50.2,14
407,Christian Norman,East,5,8.35,3.75,0,8.1,7.2,6.3,6.05,44.75,15
408,Joshua Underwood,East,0,0,0,0,7.55,0,8.4,0,15.95,16
405,Jake Johnson,Yorkshire,0,8.9,0,0,0,0,0,0,8.9,17
