Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
247,Bobby Flint,North West,9.35,9.4,9.65,9.85,9.8,9.4,9.4,66.85,1
274,Simon Cheung,South West,9.1,9.5,9.5,9.85,9.9,9.3,9.15,66.3,2
269,Oakley Banks,South East,9.15,9.3,9.45,9.85,9.8,9.5,9,66.05,3
267,Lewis Smee,South East,9,9.4,9.35,9.85,9.8,9.3,9.3,66,4
270,Reece Besley,South East,9.2,9.25,9.55,9.9,9.9,9.1,8.8,65.7,5
207,Carl Galea,Yorkshire,8.2,9.25,8.65,9.85,9.6,9.1,9.65,64.3,6
250,Jacob Ryan,North West,9.45,9.35,9.4,9.7,9.3,7,9.5,63.7,7
230,Rory Hall,Scotland,8.85,8.8,8.85,9.7,8.8,9.1,9.45,63.55,8
255,Brodie Davis,East,8.85,9.3,8.5,9.8,9.3,9.4,8.35,63.5,9
248,Finnian Gillespie,North West,7.3,9.45,9.1,9.55,9.7,9.3,8.9,63.3,10
243,Michael Weston,West Midlands,8.5,9.4,9.15,9.55,8.2,8.9,9.5,63.2,11
206,Joshua  Goodman-Dight,East Midlands,9.05,9.4,8.15,9.7,9.2,8.8,8.8,63.1,12
254,Bradley Cooper,East,8.45,9.5,9.2,9.5,9.1,8.9,8.35,63,13
225,Cameron Smith,Scotland,8.5,9.05,8.6,9.6,9.1,8.9,9.1,62.85,14
265,Frank Rice,South East,8.65,8.4,9.4,9.7,9.3,8.2,9.2,62.85,14
227,Peter Ritch,Scotland,8.15,9.2,9.3,9.85,9.2,9.2,7.85,62.75,16
232,Callum Evans,Wales,8.5,9,8.25,9.7,9.7,9,8.5,62.65,17
256,Joseph Waller,East,8.25,9.35,8.55,9.6,9.3,9.2,8.35,62.6,18
234,Jayden Lewis,Wales,8.3,8.8,9.1,9.75,8.5,9.3,8.65,62.4,19
272,Freddie Butchers,South West,8,9.15,8.85,9.25,9,8.8,8.75,61.8,20
253,Alexander Pelekanou,East,8.8,9.2,7.75,9.7,9,9,8.15,61.6,21
235,Tomos Owen,Wales,7.75,9,7.9,9.7,9,9,9.1,61.45,22
276,Thomas Payne,South West,8.2,9,8.2,9.7,9.1,9.3,7.85,61.35,23
210,Joel Booth,Yorkshire,8.5,8.85,9,9.75,8.7,8.4,7.95,61.15,24
226,Kai Chalmers,Scotland,7.8,9.15,8.4,9.85,9,8.6,8.3,61.1,25
229,Robby Bain,Scotland,7.85,9.4,7.55,9.65,9,8.7,8.95,61.1,25
251,Lex Oliver,North West,7.65,9.15,8.85,9.7,8.6,8.8,8.3,61.05,27
203,Finlay  Matthews,East Midlands,9.4,9.3,8.85,7.45,9.2,7.2,9.4,60.8,28
275,Theo Jones,South West,7.8,9.5,8.7,9.7,9,8.3,7.5,60.5,29
262,Dylan Harris,South,8.4,8.85,8.75,9.5,8.6,8.4,8,60.5,29
257,Kyle Davies,East,8.4,9.05,8.2,9.55,8.9,7.8,8.6,60.5,29
273,Hugo Massey,South West,7.7,8.9,8.5,9.55,8.8,8.4,8.65,60.5,29
258,Tylar Sandy,East,8.3,8.95,8.4,9.55,9.1,7.9,8.05,60.25,33
213,Jack Hodgson,North,7.8,8.6,8.4,9.3,8.7,8.7,8.7,60.2,34
241,Christian Mobsby,West Midlands,8.5,9.3,9.15,9.8,7.5,6.5,9.35,60.1,35
202,Alex Simner,East Midlands,8.75,8.95,8.2,9.8,7.7,8.8,7.75,59.95,36
271,Alfie Collier,South West,8.8,8.8,9,9.5,9,5.8,9,59.9,37
224,Zion Nelson Bent,London,8.15,9,8.25,9.75,8.5,8.1,7.95,59.7,38
266,George Ainley,South East,8.4,7.7,7.95,9.6,9,8.6,8.35,59.6,39
214,Thomas Coppen,North,7.35,9.15,8.85,9.65,9.3,6.6,8.6,59.5,40
249,Henry Wray,North West,7.8,8.2,7.25,9.25,8.8,8.6,9.55,59.45,41
228,Rio Johnston,Scotland,7.6,9.2,8.55,9.65,8.8,8,7.6,59.4,42
263,Harry Eckersall,South,7.8,8.7,9,9.45,7.7,8.4,8.15,59.2,43
259,Alex Zervos,South,7.9,9.3,8.4,9.2,7.5,8,8.85,59.15,44
268,Luca Taylor,South East,7.7,9.15,7.3,9.25,8.9,8.4,8.25,58.95,45
209,Freddie Connor,Yorkshire,8.45,8.95,8.25,9.7,9.1,6,8.45,58.9,46
246,Tomoya Kitchen,West Midlands,8.05,9.2,7.25,9.35,9.1,7.7,8.2,58.85,47
236,Troy Gaskell,Wales,7.75,8.5,7.1,9.65,8.9,8.5,7.9,58.3,48
231,Aled Lewis,Wales,8.05,8.7,6.85,9.4,8.2,8,9.1,58.3,48
252,Mikyle Flaherty,North West,6.75,9.3,7.85,9.7,8.8,7.3,8.45,58.15,50
221,Trey Mcgregor,London,7.8,9.15,7.4,9.6,8.6,7.8,7.7,58.05,51
264,Robert Missen,South,8,8.85,7.6,9.65,8.2,7.6,7.3,57.2,52
233,James Dunseath,Wales,7.6,9.2,6.85,9.5,7.8,8.4,7.75,57.1,53
208,Ethan Dyson,Yorkshire,7.5,8,7.95,9.2,8.5,7.6,8.2,56.95,54
260,Ben Fyvie-Rae,South,6.8,7.75,8.15,9.5,8.1,8.3,8.15,56.75,55
223,William Porcher-Meen,London,8.6,8.8,7.5,9.8,6.3,6.8,7.7,55.5,56
242,Kai Bush,West Midlands,7.7,8.65,5.8,9.5,7.9,7.3,8.3,55.15,57
204,Stanley  Cropper,East Midlands,7.4,9,6.4,9.65,7,7.4,8.05,54.9,58
261,Cormac McCarthy,South,7.6,7.75,7.4,9.2,7.5,6.6,8.8,54.85,59
201,Adam Tame,East Midlands,8.2,8.25,7.2,9.4,7.4,6,7.7,54.15,60
220,Leo Parry Wingfield,London,6.85,8.7,6.9,9.3,7.6,7.3,7.35,54,61
211,Leif Haigh,Yorkshire,6,7.9,7.75,9.05,7.9,7.3,6.65,52.55,62
244,Nathan Stainforth,West Midlands,8.1,8.2,6.05,9.65,7.9,5.7,6.6,52.2,63
205,Jamal Jallow,East Midlands,7.7,7.45,7.1,9.2,7.5,4.4,7.6,50.95,64
219,Cody Mackenzie,London,6.1,6.6,6,9.2,7.6,7.3,7.95,50.75,65
222,Varusian Birabanathan,London,8.3,9,7.9,0,8.3,8.6,8.25,50.35,66
245,Patrick Welsh,West Midlands,7.75,8.8,5.45,9.75,6.5,4.7,5.5,48.45,67
