Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
99,Rhys Pounder,East Midlands,7.4,9.65,6.85,9.15,6.7,7,6.35,53.1,53
100,Sebastian Ramirez Capes,East Midlands,8.84,9.75,6.6,9.75,8.9,9.2,8.8,61.84,38
101,Jason Claridge,East Midlands,8.2,8.6,5.1,9.75,6.2,8.1,7,52.95,54
102,Judah-David Kofi,East Midlands,8.37,9.4,7.9,10,8.4,8.7,7.2,59.97,44
103,Noah Farnsworth,East Midlands,9.24,9.65,8.75,9.7,9.3,9.1,7.35,63.09,29
104,Bryn Jones,South East,8.87,9.45,7.7,9.8,8.9,8.6,9.2,62.52,33
105,Maddox-Blu  Gaskin,South East,9,9.65,8.4,9.9,8.6,8.5,8.85,62.9,31
106,Amoz Setio,South East,8.87,9.25,9,9.6,9.3,9.2,9.45,64.67,12
107,Freddie Coope,South East,8.3,8.5,7.6,9.65,8.35,8.5,7.2,58.1,49
108,Alfie Ford,Yorkshire,9.1,9.5,7.9,10,9.1,8.8,9.15,63.55,26
109,Benjamin Milner,Yorkshire,9.3,9.75,8.9,9.8,9.6,9.2,10,66.55,4
110,Jacob Hepworth,Yorkshire,8.97,9.8,8.7,9.9,9.3,9.2,9.7,65.57,6
111,Lennox Lynch,Yorkshire,9.5,9.15,8.5,10,8.8,8.1,9.8,63.85,23
112,Toby Pinkney,Yorkshire,9.1,9.8,8.9,9.8,8.5,9,9.75,64.85,11
113,Laith Coathup,West Midlands,8.6,9.65,7.3,9.7,8.4,9,9.05,61.7,39
114,Liam Standeven,West Midlands,8.8,9.3,7.45,9.9,7.95,8.4,7.75,59.55,46
115,George Reeves,West Midlands,8.13,7.85,5.4,9.75,7.05,9.1,4.95,52.23,55
116,Henry Hotchkiss,West Midlands,8.87,9.65,6.65,8.9,6.75,8,8.9,57.72,50
117,Benjamin McBain,West Midlands,8.6,9.65,7.6,9.8,8.45,8.4,7.95,60.45,40
118,Leo Murray,Scotland,8.47,9.1,8,9.8,8.85,9.2,8.6,62.02,36
119,Millar Nicol,Scotland,9.24,9.05,7.2,9.9,8.85,8.8,9.5,62.54,32
120,Aaron Gregory,Scotland,8.77,9.6,8.85,9.6,8.95,8.9,9.8,64.47,15
121,Caiden-Jay  Malone,Scotland,9.24,9.45,8.5,9.8,9.15,8.5,8.95,63.59,25
122,Cameron Falconer,Scotland,9.47,9.8,9.3,9.7,9.55,9.5,9.35,66.67,3
123,William  Jefcoate-Scholes,South,8.97,9.45,7.8,9.8,8.85,9.2,8.95,63.02,30
124,Charlie Mccauley,South,8.73,9.3,8.3,9.9,9.1,9.4,9.35,64.08,18
125,Liam Adams,South,8.63,9.6,6.55,9.7,8.1,8.4,8.2,59.18,47
126,Matthew Mann,South,7.73,9.15,7.5,8.9,6.7,8.1,7.75,55.83,52
127,James Little,North,8.57,9,6,9.45,6.7,8.6,7.7,56.02,51
128,Lloyd Ball,North,8.7,8.9,7.8,9.6,8.7,8.6,8.1,60.4,41
129,Gethin Williams,Wales,9.4,9.85,8.5,9.9,9.35,9,9.2,65.2,7
130,Jaden Thomas,Wales,9,9.2,7.8,9.7,7.9,8.4,9.85,61.85,37
131,Ellis Barber,Wales,8.73,9.55,8.2,9.15,7.5,8.8,8.4,60.33,42
132,Evan Maddern,Wales,9.27,9.45,8.6,9,9.25,8.8,8.75,63.12,28
133,Samuel Attwood,Wales,8.97,9.7,8.2,9.45,8.8,9.1,9.85,64.07,19
134,Aaron Ryan,North West,9.13,9.5,7.65,9.85,6.35,9.2,8.2,59.88,45
135,Amir Zeharaoui,North West,8.87,9.6,7.1,9.6,9.25,9.1,9.7,63.22,27
136,Oscar Sudbery,North West,9.03,9.55,8.95,9.35,8.7,8.9,9.45,63.93,22
137,Kian Rimmer,North West,9.13,9.55,8.4,9.75,9.35,9,9.75,64.93,9
138,William Donovan,North West,8.6,9.45,6.8,9.15,8.75,8.2,7.8,58.75,48
139,Jayden Bains,London,9.1,9.85,8.8,9.65,9,9.6,8.5,64.5,14
140,Thomas Anderson,London,8.8,9.75,8.6,9.55,9,7.3,9.4,62.4,35
141,Matthew Douglas,London,9.17,9.7,8.2,9.35,9.6,8.9,8.75,63.67,24
142,Charlie Cross,London,8.6,9.75,8.8,9.65,8.85,9.3,7.45,62.4,34
143,Zeus  Dadwal-Weekes,London,9.54,9.1,8.05,10,9.55,9.1,8.7,64.04,20
144,Charlie Mussett,East,9.1,9.9,8.85,9.85,9.65,9.6,9.75,66.7,2
145,Corey Long,East,8.97,9.45,9,10,9.55,9.5,9.15,65.62,5
146,Harlan Hill,East,9.4,9.7,8.3,10,9.2,9.4,8.85,64.85,10
147,Luke Paterson,East,9.3,9.65,8.7,9.9,9.15,8.3,9,64,21
148,Zack Hammond,East,9.37,9.7,7.9,10,8.7,9.4,9.5,64.57,13
149,Chase  Vanstechelman,South West,9.3,9.65,9.35,10,9.55,9.3,9.75,66.9,1
150,Charlie Pecchia,South West,9.4,9.5,8.25,9.7,9.3,9.2,9.65,65,8
151,Brandon -Lee Rivers,South West,9.1,9.55,8.8,9.8,8.85,9,9.3,64.4,16
152,Charlie Claydon,South West,8.7,9,7.9,9.7,7.7,8.1,9.1,60.2,43
153,Hugh Blundell,South West,9.03,9.6,8.6,10,9.05,9.3,8.8,64.38,17
