Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
305,Joseph Wells,Yorkshire,9.3,9,8.75,9.25,8.6,9.2,9.9,64,1
306,Aidan Jordaan,Scotland,8.6,8.7,8.45,9.25,9.4,9.4,9.6,63.4,2
321,Louis Gibson,South East,8.2,9.35,9.2,9.05,9.5,8.4,9.6,63.3,3
317,Alex Day,North West,8.8,8.9,8.75,9.3,9.6,9.4,8.5,63.25,4
304,Matthew Heaney,South West,9.2,9.3,8.7,8.65,8.3,9.1,9.25,62.5,5
313,Conor McGrath,East Midlands,8.8,9.6,8.5,9.35,9.4,9.2,7.45,62.3,6
324,Colton Dudley,London,8.75,9.25,8.6,9.3,8.5,8.9,8.95,62.25,7
319,Max Whyte,North West,8.2,8.7,8.65,9.05,9.1,9,9.1,61.8,8
318,Louis Bolton,North West,8.85,8.25,8.3,9.4,9,8.8,9.2,61.8,8
322,Mark Szalma,South East,8.75,8.8,8.95,9.3,8.1,8.6,9.3,61.8,8
303,Henry Brooker,South West,8.9,8.9,8.9,9,6.5,8.5,8.45,59.15,11
302,Bill McCullough,South West,8.1,8.25,8.5,9.3,7.9,8.1,8.1,58.25,12
301,Ben Stone,South West,8.2,7.6,8.45,8.9,7.9,8.6,7.95,57.6,13
325,Leo Zervos,South,8.8,9.3,7.1,8.65,5.9,8.1,9.5,57.35,14
307,Tom Villis,Wales,6.7,8.45,8.35,9.65,5.4,9.1,9.7,57.35,14
309,Drew Ladell,East,7.5,9,8.65,9.55,5.9,9.2,6.7,56.5,16
311,Harrison Langridge,East,7.9,8.2,8,9.05,7.7,8.2,7.2,56.25,17
308,Bradley Beard,London,8,6.5,8.25,9.15,7.8,8,8.45,56.15,18
312,Nathan Adams,East,8.7,7.8,8.2,9.4,7.2,7.2,7.6,56.1,19
316,Stefan Mitsis,East Midlands,5.6,9.2,8.4,9.15,6.5,8.9,7.65,55.4,20
315,Henry  Richards,East Midlands,7.7,6.2,8.5,8.95,5.8,8.2,8,53.35,21
310,George Ingham,East,7.8,5.8,8.4,8.75,5.9,8.5,7.5,52.65,22
314,Cole Paul,East Midlands,8.5,9.05,4.45,9.1,5.7,8.5,6.3,51.6,23
320,Nathanael Lockett,North West,8.15,5.5,7.35,8.9,4.1,8.2,7.5,49.7,24
323,Dinesh Raymund Jayadev,West Midlands,5.1,8.4,8.45,9.1,1.2,8,6.8,47.05,25
