Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
37,George Falconer,South West,8.7,9.75,9.35,9.6,9.7,9.25,9,65.35,1
10,Robbie Taylor,North West,9.17,9.6,9.3,10,9.3,9.25,8.5,65.12,2
40,Oliver Snook,South West,8.94,9.75,9.1,9.8,9.5,9.3,8.5,64.89,3
24,Joshua Windebank,South,9.04,9.65,9.1,10,9.2,9.1,8.7,64.79,4
57,George Ross,North,9.03,9.7,9,9.8,9.5,9.1,8.5,64.63,5
13,Ethan Hryndyi,Yorkshire,8.8,10,8.85,9.8,9.3,9.5,7.8,64.05,6
6,Aled Davies-Williams,North West,9.17,9.6,9.35,9.4,9.2,9.5,7.8,64.02,7
20,Matthew McGill,Scotland,9.07,9.7,8.6,10,9.6,8.15,8.8,63.92,8
41,Joe Reynolds,London,8.87,9.8,7.85,9.9,9.1,9.35,9.05,63.92,8
43,Rory Tann,London,8.74,10,9,9.8,8.1,9.6,8.5,63.74,10
18,Grant Arneil,Scotland,9.2,9.8,8.75,9.4,9.1,8.9,8.4,63.55,11
53,Luca Morton,Wales,8.9,9.8,8.85,10,9.3,8.95,7.3,63.1,12
50,Thomas Hobbins,West Midlands,9.1,9.5,7.65,10,9.5,8.95,8.4,63.1,12
44,Samurai Gayle,London,8.97,9.9,8.45,9.9,8.7,8.2,8.9,63.02,14
9,Jacob Mairs-McKenzie,North West,9.07,9.35,8.15,9.4,9.2,9.4,8.35,62.92,15
8,Ethan Adlard,North West,9.15,9,8.4,9.6,9,9.5,7.5,62.15,16
32,Charlie Rose,South East,9.1,9.75,7.65,9.8,9,7.75,8.9,61.95,17
39,Harry Lucas,South West,8.7,9.7,7.75,9.8,9,8.6,8.35,61.9,18
36,Dylan Hunt,South West,8.4,9.05,8.9,9.7,9.1,8.25,8.45,61.85,19
19,Jude Bannatyne,Scotland,8.7,9.65,8.85,9.8,9.1,8.65,6.85,61.6,20
33,Christian Fuoco,South East,8.8,9.55,7.75,9.9,8.9,8.9,7.65,61.45,21
14,Finley Wheelwright,Yorkshire,8.8,9.6,8.1,9.9,8.5,8.75,7.8,61.45,21
45,Shaquell Grant,London,8.34,9.75,8.3,9.55,8.9,8.9,7.4,61.14,23
1,Benjamin Chirodian,East,8.26,9.6,7.6,9.8,8.8,8.8,8.1,60.96,24
5,Toby Stevens,East,8.87,9.1,8.6,9.9,8.6,7.85,7.5,60.42,25
38,Harry Baxter,South West,8.53,9.6,7.45,9.8,9,8.1,7.8,60.28,26
54,Michael Tang,Wales,9.24,9.45,7.2,9.7,9.1,8.1,7.25,60.04,27
42,Kiyan Faridi,London,8.27,9.6,7.95,9.8,7.6,9.1,7.7,60.02,28
31,Adam Bennett,South East,8.84,9.3,8.05,9.8,9,7.95,6.95,59.89,29
25,Finley  Hughes,South,8.54,9.1,7.7,9.8,8.7,8.3,7.3,59.44,30
3,Gregor Belousov,East,8.73,9,7.95,9.9,7.8,8.15,7.8,59.33,31
21,James West,South,8.64,9.6,6.65,9.9,9.2,8.15,7.1,59.24,32
52,Iwan Scrivens,Wales,8.87,9.6,6.1,9.8,9.5,8.35,6.85,59.07,33
22,Johannes Coetzee,South,8.77,8.85,8,9.9,7,8.4,8.1,59.02,34
35,Rudi Moriano,South East,8.77,9.6,7.65,9.8,9.6,6.05,7.15,58.62,35
55,Ruben Punter,Wales,8.54,9.4,8.25,9.6,9,6,7.65,58.44,36
2,Cole Burrell,East,6.3,9.7,7.7,10,8.6,9,6.15,57.45,37
4,Isaac Holland,East,7.2,9.3,7.2,9.9,9.1,7.85,6.45,57,38
7,Benjamin Holl,North West,6.17,9.45,7.3,9.9,8.2,8.05,7.9,56.97,39
17,Finlay Logan,Scotland,6.97,9.1,8.4,9.8,8.4,8.1,5.85,56.62,40
51,Sebastian Jones,Wales,9.37,9.15,7.35,9.6,6.3,7.7,6.95,56.42,41
23,Joseph Taylor,South,7.74,9.2,6.65,9.7,8.6,7.2,7,56.09,42
16,Dylan Patter,Scotland,8.4,9.3,6.35,9.7,7,8.35,6.95,56.05,43
15,Samuel Cook,Yorkshire,8.5,9.75,7.5,9.9,8.4,5.5,6.15,55.7,44
48,Harry Simmill,West Midlands,8.2,8.75,6.25,9.5,8.5,7.35,7.05,55.6,45
34,Jake Betts,South East,7.6,8.95,7.25,9.3,8.9,7.9,5.5,55.4,46
28,Luke  Harrington,East Midlands,8.17,8.4,4.7,9.2,7.2,8.5,6.45,52.62,47
11,Alexander Hughes,Yorkshire,7.5,8.05,7.2,9.8,6.2,6.15,7.55,52.45,48
46,Archie Ross,West Midlands,6.47,8.6,6,9.6,7.3,7.5,6.7,52.17,49
26,Finley Risby,East Midlands,5.6,9.45,6.4,9.9,7.3,7.5,5.8,51.95,50
30,William Thornton,East Midlands,7.87,8.75,5.95,9.8,7.9,4.7,6.9,51.87,51
29,Joe Taylor,East Midlands,7.47,8.55,6.5,9.5,5,8.15,6.1,51.27,52
56,Ewan McIlraith,Isle Of Man,7.47,9.4,6.3,8.4,7.9,4.9,6.9,51.27,52
49,Oliver Scott,West Midlands,6.6,8.5,7.1,8.8,6.5,5.05,5.65,48.2,54
27,Jack Chambers,East Midlands,7.24,8.75,7,9.3,5.3,3.9,6.7,48.19,55
12,Charlie Hargreaves,Yorkshire,0,9.5,8.2,0,9.5,8.5,0,35.7,56
