Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
332,Brad Lewis,South West,9,9,8.9,9.6,8.9,8.9,9.35,63.65,1
333,Conner Blake,South West,9.4,8.8,9,9.55,8.55,9.1,9.25,63.65,1
365,Kourosh Mokaram,London,8.9,9.6,7.85,9.4,9.1,9.4,8.75,63,3
364,Harrison Hoad,London,8.7,9.1,8.85,9.35,8.8,9,8.8,62.6,4
369,Henry Clark,South East,9.1,8.9,9,9.45,8.55,8.4,9.1,62.5,5
352,Lewis Lakin,North West,8.4,9,8.9,9.7,8.95,8.7,8.35,62,6
353,Lewis Unsworth,North West,9.6,7.25,9,9.4,8.55,9,8.75,61.55,7
343,Benjamin Dowds,South,8.2,7.85,9.2,9.25,8.15,9.3,9.15,61.1,8
362,Avishai Wynne,London,8.6,9.7,8.2,9.45,8.25,8.9,8,61.1,8
339,Fraser Lynes,Scotland,7.2,7.95,9.2,9.4,8.85,9,9.3,60.9,10
342,Archie Knowles,South,8.2,8.85,8.9,9.5,8,8.7,8.75,60.9,10
363,Christopher O'Shea,London,8.3,9.5,8.7,9.55,8.85,7.3,8.65,60.85,12
367,Alex Taylor,South East,9.3,7.9,8.3,9.6,8.85,9.2,7.65,60.8,13
354,Michael Gaffney,North West,9.45,7.45,8.4,9.05,8.6,8.6,9.15,60.7,14
338,Bradley Campbell,Scotland,8.55,8.7,9.05,9.4,8.1,8.6,7.9,60.3,15
351,Ben Barclay,North West,8.15,8.35,8.95,9.3,8.25,8.4,8.7,60.1,16
350,Kian Bell,East,7.8,8.95,8.9,9.55,8.8,9.3,6.4,59.7,17
347,Christian Emanuel-Smith,East,8.3,9,8.4,9.5,8.3,8.6,7.5,59.6,18
346,Aidan Anderson,East,8.95,7.8,8.5,9.35,7.8,9.2,7.55,59.15,19
335,Theo Birakos,South West,8.6,8.8,8.95,9.45,7.25,8.4,7.35,58.8,20
366,Oran Barak,London,8.5,8.5,8.1,9.65,8.3,8.2,7.3,58.55,21
337,Angus Baxter,Scotland,9,8.65,8.7,9.25,4.8,8.9,8.7,58,22
348,David Brouat,East,8.9,9.1,8.5,9.5,6.1,8,7.65,57.75,23
356,Dovydas Kuciauskas,East Midlands,7.35,8.85,7.9,9.25,7.5,8.1,8.7,57.65,24
341,Alex Arnold,South,7.2,8.3,9,9.45,8.7,8.8,6.15,57.6,25
345,Nicholas Rodrigues,South,7.35,9.2,9.15,9,8.2,7.8,6.8,57.5,26
360,Rhys Butterworth,East Midlands,8.6,8.55,7.3,9.6,7,8.1,8.3,57.45,27
334,Luke Baxter,South West,8.15,6.75,8.6,9.5,8.4,8.1,7.85,57.35,28
336,Alasdair Peacock,Scotland,7.4,8.8,8.15,9.25,7.35,8.1,7.75,56.8,29
359,Byron  Clamp,East Midlands,8.9,8.35,8.5,9.15,5.2,8.1,8.05,56.25,30
344,Maxim Lachugin,South,8.3,8.2,8.4,9.4,4.4,7.7,9.3,55.7,31
331,Anthony Holman,South West,6.45,8.65,8.6,9.2,7.2,7.5,7.85,55.45,32
372,Owen Steele,Yorkshire,7.1,9.05,7.25,9.3,7,8.2,7.45,55.35,33
355,Mustapha James,North West,7.5,7.9,8.4,9,6.6,8,7.75,55.15,34
349,Harvey Barlow,East,7.2,8.2,8.8,9.45,8.2,6.9,6.1,54.85,35
357,James Walker,East Midlands,7.2,7.5,8.7,9.45,7.65,7.7,6.35,54.55,36
361,Theo Thomas,West Midlands,6.95,6.4,8.3,8.95,8.2,8.3,7.15,54.25,37
370,Michael Roach,South East,7.6,5.8,8.5,9.25,7.85,8,7,54,38
340,Kerr Wilson,Scotland,8.1,7,7.4,9.4,6.95,8,6.6,53.45,39
371,Matthew Saxton,Yorkshire,7.75,7.65,7.65,9.45,7,6.4,6.6,52.5,40
368,Ciaran Thompson,South East,4.6,7,8.5,9.2,7.3,7.4,6.65,50.65,41
358,Indi  Watson,East Midlands,7.1,6.9,7.2,0,3.8,7.6,6.05,38.65,42
