Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
364,Ethan Mayo,South,8.14,9,7.8,9.45,8.7,8.9,9.2,61.19,22
365,Matthew Ingram,South,8.54,9,8.75,9.65,9.15,9.25,9.15,63.49,13
366,Bertie O'Sullivan,South,9.07,9.2,8.6,9.85,9,8.6,8.7,63.02,15
367,Henry Drackett,South,8.74,9.1,7.1,10,9.2,7.85,7.8,59.79,27
368,Louie Pinhorne,South,9.1,9.65,6.7,9.85,8.8,9.35,9.65,63.1,14
369,Charlie White,East Midlands,7.8,8.5,7.6,10,8.3,9.4,7,58.6,33
370,Oliver Bamford,East Midlands,9,9.5,9.15,10,9.25,9.3,9.2,65.4,5
371,Tom Dingley,East Midlands,9.54,9.4,7.9,9.85,8.9,9.45,9.75,64.79,9
372,Harry Heydon,East Midlands,8.5,7.7,7.9,9.8,8.55,9.05,7.4,58.9,30
373,Tom Bradley,East Midlands,8.37,9.1,7.35,9.9,7.5,8.4,5.7,56.32,37
374,Brody Neely,Northern Ireland,8.67,9.4,8.3,9.65,8.8,8.65,7.55,61.02,23
375,Oliver Robinson,Northern Ireland,9.4,9.2,8.4,9.7,9.25,7.3,9.4,62.65,17
376, James Fricker , South East ,,,,,,,,0,
377,Benjamin Williamson,South East,8.2,9.5,8,9.9,7.4,7.5,5.1,55.6,38
378,Dontè Buchanan-Barrett,South East,9.9,9.9,7.8,9.8,9.8,9.85,9.05,66.1,2
379,George Hibbert,South East,9.1,9.25,6.8,9.5,9.1,9.7,8.6,62.05,20
380,Daniel Demyrov,South East,8.14,10,8.7,10,9.4,9.6,9.2,65.04,8
381,Ethan Murphy,South East,9.3,9.75,9.4,10,9.2,9.65,7.75,65.05,7
382,Eden Lawrence,North West,9.07,9,8.6,9.75,9.6,8.9,8.85,63.77,10
383,Lucas Martindale,North West,8.47,8.3,7.4,9.85,7.9,6.95,5.45,54.32,40
384,Keane Bowes,North West,9.24,9.6,8.6,9.4,8.4,9.3,7.75,62.29,19
385,Liam Nicholls,North West,6.67,8.6,7.9,10,9.2,8.9,8.15,59.42,29
386,Troy Keyes,North West,9.27,9.7,8.4,10,9,9.45,7.95,63.77,11
387,Jesse Dobson,London,9.57,9.3,8.3,10,9.7,9.4,9.15,65.42,4
388,Jamie Barnes,Wales,8.67,9.3,7.8,9.8,8.6,7.7,8.7,60.57,24
389,Iolo Parry,Wales,8.64,9.1,8.8,10,8.7,8.35,6.1,59.69,28
390,Morgan Hicks,Wales,9,9.2,9,10,8.6,8.8,9.1,63.7,12
391,Oliver Jones,Wales,8.7,8.75,7.4,9.85,8.8,8.1,7.15,58.75,31
392,Aidan Coyle,Scotland,8.77,9.3,8.5,10,9.65,8.5,7.95,62.67,16
393,Lucas Duguid,Scotland,8.74,8.1,9,9.6,9,9.3,8.1,61.84,21
394,Christopher Halliday,Scotland,8.67,8.1,6.4,9.7,8.5,7.55,6.2,55.12,39
395,Yasha Manning,East,9.07,9.75,8.8,9.85,9.2,9.4,9.6,65.67,3
396,Alexander Shirley,East,8.67,9.3,7,9.9,6.5,8.05,7.55,56.97,36
397,Dylan Fox,East,8.5,8.2,8.2,9.4,9,9.15,7.35,59.8,26
398,Kai Petroiu,East,9.77,9.8,9.5,10,9.9,9.5,9.6,68.07,1
399,Codi Hurd,West Midlands,9.07,8.4,8.2,9.8,9.5,9.6,7.8,62.37,18
400,Ethan Hughes,West Midlands,9.3,9.6,8.6,9.9,9.7,9.25,8.8,65.15,6
401,Kosei Windeatt Owen,South West,8.6,8.4,6.4,9.85,8,9.25,8.15,58.65,32
402,Lewis Davey,South West,8.57,9.2,7.8,9.9,8.5,7.65,8.85,60.47,25
403,Max Ridyard,South West,8.64,8,6.3,9.9,8.5,9,8,58.34,35
404,Joshua Truman,South West,8.37,8.4,7.3,9.4,8.45,8.75,7.8,58.47,34
405,Harvey Caban,South West,8.54,6.5,5.2,9.65,7.8,9.25,7.35,54.29,41
