Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
252,Jonas Rushworth,Yorkshire,9.35,9.325,9.1,9.8,9.6,9.15,9.5,9.35,75.175,1
260,Jed Solomon,North West,9.3,9.425,9.3,9.85,9.9,9.7,7.87,9.4,74.745,2
253,Michael Goddard,Yorkshire,9.15,8.375,9.267,9.475,9.5,9.45,9.2,9.55,73.967,3
248,Trumaine Brown,West Midlands,8.9,9.375,9.234,9.925,9.3,7.75,8.7,9,72.184,4
243,Oliver Condon,London,8.65,9.525,9.544,9.475,9.25,7.85,8.43,9.2,71.924,5
261,Joseph Feery,North West,9.05,9.3,9.7,9.725,9.1,9.25,8.2,6.75,71.075,6
245,Brandon King,West Midlands,9.15,9.35,9.6,9.85,9.25,6.45,8.77,8.6,71.02,7
250,Jay Franklin,South West,8.25,7.675,8.767,9.95,9.5,9.3,8.63,8.75,70.822,8
240,Daniel Leighton-Scott,East,7.1,8.575,9.067,9.55,8,9.25,8.37,7.6,67.512,9
258,Thomas O'Connor,South East,7.9,8.3,8.667,9.575,8.45,7.25,8.4,8.3,66.842,10
262,Owen Craig,North West,8.05,7.525,9.034,9.05,8.2,7.45,8.23,8.8,66.339,11
249,Calum Honey,South West,8.4,6.675,8.334,9.875,8.4,6.95,8.73,8.3,65.664,12
242,Harry White,East,7.8,8.45,8.467,9.45,7.85,6.8,8.17,8.1,65.087,13
246,Max Jenkins,West Midlands,9,6.7,7.744,9.375,7.1,8.15,7.67,8.25,63.989,14
257,Santo Fuoco,South East,8.05,8.35,7.467,9.575,8.5,6.25,7.33,8.2,63.722,15
254,Elliot Vernon,East Midlands,7.2,7.15,7.2,9.45,8.5,7.3,7.1,7.9,61.8,16
251,Noah Ford,South West,8.55,6.675,7.8,9.325,7.6,6.5,5.7,6.85,59,17
259,Ethan Gray,North West,7.5,6.45,7.467,9.3,7.15,4.95,6.63,6.35,55.797,18
241,Finnley Dunning,East,0,0,0,0,0,0,0,0,0,
244,Alexander Niscoveanu,Wales,0,0,0,0,0,0,0,0,0,
247,Oliver Hallett,West Midlands,0,0,0,0,0,0,0,0,0,
255,Jack Morgan,East Midlands,0,0,0,0,0,0,0,0,0,
256,William Dumayne,East Midlands,0,0,0,0,0,0,0,0,0,
