No,Name,Team,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,POS
69,Matthew Heaney,South West,8.85,9.25,9.15,9.25,9.3,8.75,8.25,62.8,1
65,Louis Gibson,South East,8.3,9.6,8.8,9.35,9,8.2,8.95,62.2,2
74,Joseph Wells,Yorkshire,7.5,9.3,8.35,8.75,9.7,8.75,8.7,61.05,3
72,Louis Bolton,North West,8.6,9.6,9.3,8.05,9.5,7.15,8.6,60.8,4
73,Max Whyte,North West,8.1,9.45,8.8,7.95,9.8,8.4,7.8,60.3,5
68,Henry Brooker,South West,8.25,8.95,8.1,9.3,7.5,8.9,7.85,58.85,6
66,Bill McCullough,South West,8.1,7.7,8.7,9.15,9,8.4,6.85,57.9,7
70,Alex Day,North West,8.25,8.4,8.9,8.95,9,7.55,6.45,57.5,8
77,Tom Villis,Wales,8.85,8.05,8.1,9,7.5,7.75,7.95,57.2,9
62,Drew Ladell,East,7.75,7.85,7.7,9.3,6.7,7.75,5.3,52.35,10
64,Dinesh Raymund Jayadev,West Midlands,5.25,8.4,7.95,7.8,6.4,8.1,6.2,50.1,11
63,Harrison Langridge,East,7.4,5,8.7,8.75,8,6.05,5.95,49.85,12
76,Leo Zervos,South,0,7.8,8.2,7.7,8.5,6.65,6.85,45.7,13
75,Jacob Lobley,East Midlands,5.75,5.55,7.65,8.1,5.1,7.1,4.75,44,14
61,Charlie Woodward,East,7.65,3.45,5.65,6.35,4.3,7.3,4.9,39.6,15
67,Connor Turner,South West,6.05,0,4.55,7.4,0,0,4.95,22.95,16
