Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
430,Euan Cox,South East,8,8.2,8.95,9.425,8.6,9.8,9.65,8.7,71.325,1
436,Louis Sidebottom,Yorkshire,8.55,7.65,8.8,9.475,8.95,8.5,9.25,9.1,70.275,2
427,Aldrin Salvilla-Tagayuna,North West,8.95,5.3,7.9,9.3,8.7,9.4,9.25,8.9,67.7,3
437,Adam Tobin,South West,8.25,7.2,7.15,9.225,8.85,8.5,9.35,8.7,67.225,4
435,Jake Jarman,East,7.8,8.4,7.45,9.225,8.75,9,6.25,9.1,65.975,5
433,Douglas Turnbull,East,8.75,7.4,7.65,8.3,9,7.1,8.45,9.15,65.8,6
426,Tyla-Jae Curtis,East Midlands,7.45,7.8,6.5,8.925,7.2,7.7,7.2,8.7,61.475,7
425,Matthew Boardman,East Midlands,7,0,6.4,8.25,8.5,7.4,9.2,7.65,54.4,8
428,Caleb Stephenson,London,6.55,2.8,6.6,8.925,8.4,6.6,7.7,4.85,52.425,9
431,Harry Harrod,South East,6.35,0,6.3,9.35,8.2,0,9,8.25,47.45,10
429,Gregory Habgood,London,5.4,5,4,8.675,6.25,5.5,5.8,5.85,46.475,11
434,George Dobson,East,7,0,0,9.475,8.3,0,0,5.8,30.575,12
